id,trigger,conditions,script,text,options,notes
nskr_kq_jackStatusJob1Offer,nskr_kqJackStatus,"nskr_quest kq is NOT_STARTED
nskr_quest kq check job1Standing",FireBest nskr_kqNewJob,,,
nskr_kq_jackStatusJob1Tasks,nskr_kqJackStatus,"nskr_quest kq is JOB1_ACTIVE
nskr_quest kq flag JOB1_TIP_GIVEN
!nskr_quest kq check job1SensorReady
!nskr_quest kq check job1CargoReady",,"""I've already given you the tasks. Finish one first, then we can talk.""",,
nskr_kq_jackStatusJob1Tip,nskr_kqJackStatus,"nskr_quest kq is JOB1_ACTIVE
!nskr_quest kq flag JOB1_SENSOR_DATA
!nskr_quest kq check job1Cargo
!nskr_quest kq flag JOB1_TIP_GIVEN
nskr_quest kq check job1TipKnown",,"""What's up captain. Have you had any luck with the job?""",,
nskr_kq_jackStatusJob1Package,nskr_kqJackStatus,"nskr_quest kq is JOB1_ACTIVE
nskr_quest kq check job1SensorReady",,"""You have the sensor package? Perfect, now hand it over.""",,
nskr_kq_jackStatusJob1Cargo,nskr_kqJackStatus,"nskr_quest kq is JOB1_ACTIVE
nskr_quest kq check job1CargoReady",,"""You have the cargo? Excellent work.""",,
nskr_kq_jackStatusJob1Both,nskr_kqJackStatus,"nskr_quest kq is JOB1_ACTIVE
nskr_quest kq check job1SensorReady
nskr_quest kq check job1CargoReady",,"""You have both the cargo and the sensor package? Impressive.""",,Three lines: wins over the package and cargo rows when both hand-ins are ready.
nskr_kq_jackStatusJob1Done,nskr_kqJackStatus,nskr_quest kq is JOB1_DONE,,"""Are you finished with the tasks?""",,
nskr_kq_jackStatusJob3Standing,nskr_kqJackStatus,"nskr_quest kq is JOB3_OFFERED
!nskr_quest kq check job3Standing",,"""There's another job waiting, captain, but the board wants someone in better standing with Kesteven. Improve that and come back.""",,
nskr_kq_jackStatusJob3Offer,nskr_kqJackStatus,"nskr_quest kq is JOB3_OFFERED
nskr_quest kq check job3Standing
nskr_quest kq check job3Fleet",FireBest nskr_kqNewJob,,,
nskr_kq_jackStatusJob3Fleet,nskr_kqJackStatus,"nskr_quest kq is JOB3_OFFERED
nskr_quest kq check job3Standing
!nskr_quest kq check job3Fleet",FireBest nskr_kqNeedFleet,,,
nskr_kq_jackStatusJob3Alice,nskr_kqJackStatus,nskr_quest kq is JOB3_BRIEFING,,"""I told you to go talk to Alice.""",,
nskr_kq_jackStatusAliceWork,nskr_kqJackStatus,nskr_quest kq is JOB3_ACTIVE JOB3_TARGET_KNOWN JOB3_DONE JOB4_ACTIVE JOB4_DONE,,"""You're already working for Alice.""",,
nskr_kq_jackStatusJob4,nskr_kqJackStatus,"nskr_quest kq is JOB4_WAITING
nskr_quest kq flag JOB4_WAIT_OVER",,"""I hear that Alice has more work available.""",,
nskr_kq_jackStatusJob5Standing,nskr_kqJackStatus,"nskr_quest kq is JOB5_OFFERED
!nskr_quest kq check job5Standing",,"""I have work for you, but not while your standing with Kesteven is this poor. Fix that, then we'll talk.""",,
nskr_kq_jackStatusJob5Offer,nskr_kqJackStatus,"nskr_quest kq is JOB5_OFFERED
nskr_quest kq check job5Standing
nskr_quest kq check job5Fleet",,"""There is something important we need you to work on. We should discuss it in detail.""",,
nskr_kq_jackStatusJob5Fleet,nskr_kqJackStatus,"nskr_quest kq is JOB5_OFFERED
nskr_quest kq check job5Standing
!nskr_quest kq check job5Fleet",FireBest nskr_kqNeedFleet,,,
nskr_kq_jackStatusBar,nskr_kqJackStatus,nskr_quest kq is JOB5_MEETING,,"""I said, head to the bar.""",,
nskr_kq_jackStatusLeads,nskr_kqJackStatus,"nskr_quest kq is JOB5_DISKS
!nskr_quest kq flag JOB5_JACK_TIP
!nskr_quest kq check allDisks",,"""Let's discuss the leads we have.""",,
nskr_kq_jackStatusNothingNew,nskr_kqJackStatus,"nskr_quest kq is JOB5_DISKS CACHE_KNOWN CACHE_CLEARED CHIP_RECOVERED
nskr_quest kq flag JOB5_JACK_TIP",,"""There's nothing new to report $playerFirstName.""",,
nskr_kq_jackStatusAliceTip,nskr_kqJackStatus,"nskr_quest kq is JOB5_DISKS
nskr_quest kq flag JOB5_JACK_TIP
nskr_quest kq flag JOB5_ALICE_TIP
!nskr_quest kq flag JOB5_ALICE_TIP2
nskr_quest kq check twoSatellites
!nskr_quest kq check allDisks",,"""I hear Alice wants to talk to you.""",,
nskr_kq_jackStatusAllDisks,nskr_kqJackStatus,"nskr_quest kq is JOB5_DISKS
nskr_quest kq check allDisks score:10",,"""I see you have all the disks. You should go and talk to Alice about them.""",,score:10 wins over nskr_kq_jackStatusNothingNew at JOB5_DISKS.
nskr_kq_jackStatusCompleted,nskr_kqJackStatus,nskr_quest kq is COMPLETED,,"""Nothing new has popped up $playerFirstName.""",,Not reachable while nskr_kq_hubChatOption hides the option at COMPLETED.
,,,,,,
nskr_kq_jackOptReqSkipJob3,nskr_kqJackOptions,"nskr_quest kq is JOB3_OFFERED
nskr_quest kq check job3Standing
!nskr_quest kq check job3Fleet","SetStoryOption nskr_kq_reqSkip 1 nskr_skipRequirement ui_char_spent_story_point ""Skipped quest reqs.""",,nskr_kq_reqSkip:I believe you'll find me more than capable.,
nskr_kq_jackOptReqSkipJob5,nskr_kqJackOptions,"nskr_quest kq is JOB5_OFFERED
nskr_quest kq check job5Standing
!nskr_quest kq check job5Fleet","SetStoryOption nskr_kq_reqSkip 1 nskr_skipRequirement ui_char_spent_story_point ""Skipped quest reqs.""",,nskr_kq_reqSkip:I believe you'll find me more than capable.,
nskr_kq_jackOptStorySkip,nskr_kqJackOptions,"nskr_quest kq is NOT_STARTED JOB3_OFFERED
nskr_quest kq check storySkipUnlocked","SetStoryOption nskr_kq_storySkip 5 nskr_skipStory ui_char_spent_story_point ""Skipped story.""",,"nskr_kq_storySkip:You are looking for the Cache and the UPC, right? I think I can help. (Skip story)",
nskr_kq_jackOptStorySkipJob5Standing,nskr_kqJackOptions,"nskr_quest kq is JOB5_OFFERED
!nskr_quest kq check job5Standing
nskr_quest kq check storySkipUnlocked","SetStoryOption nskr_kq_storySkip 5 nskr_skipStory ui_char_spent_story_point ""Skipped story.""",,"nskr_kq_storySkip:You are looking for the Cache and the UPC, right? I think I can help. (Skip story)",
nskr_kq_jackOptStorySkipJob5Fleet,nskr_kqJackOptions,"nskr_quest kq is JOB5_OFFERED
nskr_quest kq check job5Standing
!nskr_quest kq check job5Fleet
nskr_quest kq check storySkipUnlocked","SetStoryOption nskr_kq_storySkip 5 nskr_skipStory ui_char_spent_story_point ""Skipped story.""",,"nskr_kq_storySkip:You are looking for the Cache and the UPC, right? I think I can help. (Skip story)",
nskr_kq_jackOptJob1,nskr_kqJackOptions,"nskr_quest kq is NOT_STARTED
nskr_quest kq check job1Standing",,,nskr_kq_brief:Enemy Unknown,
nskr_kq_jackOptJob1Tip,nskr_kqJackOptions,"nskr_quest kq is JOB1_ACTIVE
!nskr_quest kq flag JOB1_SENSOR_DATA
!nskr_quest kq check job1Cargo
!nskr_quest kq flag JOB1_TIP_GIVEN
nskr_quest kq check job1TipKnown",,,"nskr_kq_brief:""How am I supposed to find them?""",
nskr_kq_jackOptJob1Package,nskr_kqJackOptions,"nskr_quest kq is JOB1_ACTIVE
nskr_quest kq check job1SensorReady
!nskr_quest kq check job1CargoReady",,,nskr_kq_brief:Hand over the package,
nskr_kq_jackOptJob1Cargo,nskr_kqJackOptions,"nskr_quest kq is JOB1_ACTIVE
nskr_quest kq check job1CargoReady
!nskr_quest kq check job1SensorReady",,,nskr_kq_brief:Hand over the electronics,
nskr_kq_jackOptJob1Both,nskr_kqJackOptions,"nskr_quest kq is JOB1_ACTIVE
nskr_quest kq check job1SensorReady
nskr_quest kq check job1CargoReady",,,nskr_kq_brief:Hand over everything,
nskr_kq_jackOptJob1Done,nskr_kqJackOptions,nskr_quest kq is JOB1_DONE,,,"nskr_kq_brief:""I've done everything.""",
nskr_kq_jackOptJob3,nskr_kqJackOptions,"nskr_quest kq is JOB3_OFFERED
nskr_quest kq check job3Standing
nskr_quest kq check job3Fleet",,,nskr_kq_brief:Hostile Takeover,
nskr_kq_jackOptJob5,nskr_kqJackOptions,"nskr_quest kq is JOB5_OFFERED
nskr_quest kq check job5Standing
nskr_quest kq check job5Fleet",,,"nskr_kq_brief:""I'm listening.""",
nskr_kq_jackOptLeads,nskr_kqJackOptions,"nskr_quest kq is JOB5_DISKS
!nskr_quest kq flag JOB5_JACK_TIP
!nskr_quest kq check allDisks",,,"nskr_kq_brief:""Okay""",
nskr_kq_jackOptBack,nskr_kqJackOptions,,SetShortcut nskr_kq_exit ESCAPE false,,nskr_kq_exit:Back,
,,,,,,
# Jack: job 1,,,,,,
nskr_kq_jackJob1Brief,DialogOptionSelected,"$option == nskr_kq_brief
nskr_quest kq is NOT_STARTED","AddText ""\""You would be doing a set of tasks for us.\"" He starts reading out from something, probably an internal briefing.""
AddText ""Task 1 is to track down and engage a fleet belonging to this AI threat, destroy at least one target ship while running our sensor package. Then return it to us here.""
SetTextHighlights ""track down and engage a fleet belonging to this AI threat, destroy at least one target ship""
AddText ""Task 2 is to recover a quantity of electronics and other crucial components from the wrecked ships. Around $nskr_kq_job1ArtifactCount should be enough""
SetTextHighlights ""recover a quantity of electronics and other crucial components from the wrecked ships""
AddText ""He pauses to give you a quick look, inspecting your reaction.""
AddText ""\""You will be compensated of course, our payout for the job is $nskr_kq_job1Payout\""""
SetTextHighlights ""$nskr_kq_job1Payout""
AddText ""\""Can you handle this captain?\"" He raises his eyebrow inviting you to respond.""
SetShortcut nskr_kq_exit ESCAPE false","""Our intelligence has been tracking down worrying reports of a new type of rogue AI threat lurking in the outer sector. We are in need of some help, in gathering intel on this entity.""","nskr_kq_confirm:Accept
nskr_kq_ask:""I have some questions.""
nskr_kq_exit:Back",
nskr_kq_jackJob1Accept,DialogOptionSelected,"$option == nskr_kq_confirm
nskr_quest kq is NOT_STARTED","AddTextSmall ""Acquired log entry for Enemy Unknown"" gray
SetTextHighlights ""Enemy Unknown""
PlaySound ui_noise_static
nskr_quest kq advance NOT_STARTED JOB1_ACTIVE
AddText ""\""Good luck. I await your return.\"" He starts marking down stuff on his holopad as the connection is cut.""
SetShortcut nskr_kq_exit ESCAPE false",,nskr_kq_exit:Leave,
,,,,,,
nskr_kq_jackJob1HandInBoth,DialogOptionSelected,"$option == nskr_kq_brief
nskr_quest kq is JOB1_ACTIVE
nskr_quest kq check job1CargoReady
nskr_quest kq check job1SensorReady","AddRemoveCommodity nskr_electronics -70
AddTextSmall ""Lost sensor package"" gray
PlaySound ui_rep_raise
nskr_quest kq set JOB1_DATA_DELIVERED
nskr_quest kq set JOB1_ELECTRONICS_DELIVERED
nskr_quest kq do job1Progress
SetShortcut nskr_kq_exit ESCAPE false","""We've been waiting to see some concrete data on this subject. Nice work captain."" He makes a vaguely congratulatory gesture.",nskr_kq_exit:Back,Four lines: wins over the single hand-in rows. The amount is KestevenHubModule.JOB1_ARTIFACTS.
nskr_kq_jackJob1HandInCargo,DialogOptionSelected,"$option == nskr_kq_brief
nskr_quest kq is JOB1_ACTIVE
nskr_quest kq check job1CargoReady","AddRemoveCommodity nskr_electronics -70
PlaySound ui_rep_raise
nskr_quest kq set JOB1_ELECTRONICS_DELIVERED
nskr_quest kq do job1Progress
SetShortcut nskr_kq_exit ESCAPE false","""Perfect. This will proof itself invaluable to our efforts.""",nskr_kq_exit:Back,The amount is KestevenHubModule.JOB1_ARTIFACTS.
nskr_kq_jackJob1HandInPackage,DialogOptionSelected,"$option == nskr_kq_brief
nskr_quest kq is JOB1_ACTIVE
nskr_quest kq check job1SensorReady","AddTextSmall ""Lost sensor package"" gray
PlaySound ui_rep_raise
nskr_quest kq set JOB1_DATA_DELIVERED
nskr_quest kq do job1Progress
SetShortcut nskr_kq_exit ESCAPE false","""We've been waiting to see some concrete data on this subject. Nice work captain."" He makes a vaguely congratulatory gesture.",nskr_kq_exit:Back,
nskr_kq_jackJob1Tip,DialogOptionSelected,"$option == nskr_kq_brief
nskr_quest kq is JOB1_ACTIVE
!nskr_quest kq flag JOB1_DATA_DELIVERED
!nskr_quest kq flag JOB1_ELECTRONICS_DELIVERED
!nskr_quest kq flag JOB1_TIP_GIVEN
nskr_quest kq check job1TipKnown
!nskr_quest kq check job1CargoReady
!nskr_quest kq check job1SensorReady","FireBest nskr_kqJackTipLine
AddText ""\""That should give you something to work on captain.\"" He nods and shortly cuts the comm link.""
nskr_quest kq set JOB1_TIP_GIVEN
nskr_quest kq do job1Progress
SetShortcut nskr_kq_exit ESCAPE false",,nskr_kq_exit:Back,
nskr_kq_jackTipLine,nskr_kqJackTipLine,,"SetTextHighlights ""$nskr_kq_job1TipSystem""","""Our best lead is the $nskr_kq_job1TipSystem. You should start from there.""",,Shared by the job 1 briefing and the question.
,,,,,,
nskr_kq_jackJob1Done,DialogOptionSelected,"$option == nskr_kq_brief
nskr_quest kq is JOB1_DONE",,"""With all this secured, we should learn a lot more about this ""Enigma"" entity."" He has a self satisfied look on his face.","nskr_kq_confirm:Continue
nskr_kq_ask:""I have some questions.""",
nskr_kq_jackJob1Paid,DialogOptionSelected,"$option == nskr_kq_confirm
nskr_quest kq is JOB1_DONE","AddText ""Officer Lapua gives you a look like he isn't supposed to do this. \""I also threw in a little bonus for a job well done. It's a new modspec courtesy of our own R&D division.\""""
AddCredits 155000
AdjustRep kesteven 5
AdjustRepPerson nskr_opguy COOPERATIVE 10
nskr_quest kq do grantModspec
PlaySound ui_rep_raise
nskr_quest kq advance JOB1_DONE JOB3_OFFERED
SetShortcut nskr_kq_exit ESCAPE false","""Nice work captain. I hope we can continue developing this relationship further in the future.""",nskr_kq_exit:Leave,AddCredits pays KestevenHubModule.STAGE1_PAYOUT.
,,,,,,
# Jack: jobs 3 and 5,,,,,,
nskr_kq_jackJob3Brief,DialogOptionSelected,"$option == nskr_kq_brief
nskr_quest kq is JOB3_OFFERED","AddText ""\""Oh, by the way we've set up an exchange program for any Artifact Electronics you recover. Go talk to Alice about it.\"" He gives you a quick wink that you barely catch.""
SetTextHighlights ""exchange program for any Artifact Electronics""
AddText ""\""Hope you ready for more work.\"" He seems eager to get things moving.""","""You'll need to talk to Alice for this one. Your contact in R&D, I hear she needs some work done.""",nskr_kq_confirm:Continue,
nskr_kq_jackJob3Handoff,DialogOptionSelected,"$option == nskr_kq_confirm
nskr_quest kq is JOB3_OFFERED","nskr_quest kq advance JOB3_OFFERED JOB3_BRIEFING
AddPotentialContact
AddText ""\""Go talk to Alice now.\""""
SetShortcut nskr_kq_exit ESCAPE false",,nskr_kq_exit:Leave,
,,,,,,
nskr_kq_jackJob5Brief,DialogOptionSelected,"$option == nskr_kq_brief
nskr_quest kq is JOB5_OFFERED","AddText ""\""Head to the bar and give the signal to our man waiting there. You will need to discuss this in person with me and Alice.\"" He gestures you to get moving.""
SetTextHighlights ""Go to the bar""
nskr_quest kq advance JOB5_OFFERED JOB5_MEETING
SetShortcut nskr_kq_exit ESCAPE false","""It's time we told you about what we are actually looking for here. What's the real point of going after this Enigma AI."" His manners are more commanding than usual, this must be important.",nskr_kq_exit:Leave,"The highlight phrase does not occur in the text, as before."
,,,,,,
nskr_kq_jackLeads,DialogOptionSelected,"$option == nskr_kq_brief
nskr_quest kq is JOB5_DISKS
$id == nskr_opguy
!nskr_quest kq flag JOB5_JACK_TIP","FireAll nskr_kqJackLeadsLines
FireBest nskr_kqDelveUpdated
nskr_quest kq set JOB5_JACK_TIP
SetShortcut nskr_kq_exit ESCAPE false",,nskr_kq_exit:Leave,
nskr_kq_jackLeadsEliza,nskr_kqJackLeadsLines,!nskr_quest kq flag ELIZA_FOUND,"SetTextHighlights ""Eliza""
AddText ""\""That's your best bet on finding her. I'm sure you can get something out of that scum, if you loosen their lips with some free drinks.\"" He gives you a quick nod.""","""You'll need to find out where Eliza is hiding. You need to go undercover, and start asking questions from local pirates.""",,
nskr_kq_jackLeadsElizaFound,nskr_kqJackLeadsLines,"nskr_quest kq flag ELIZA_FOUND
!nskr_quest kq flag ELIZA_HELPED
!nskr_quest kq flag ELIZA_KILLED",,"""Seems like you've already figured out where Eliza is hiding. Good, now get the disks from her.""",,
nskr_kq_jackLeadsElizaHelped,nskr_kqJackLeadsLines,"nskr_quest kq flag ELIZA_FOUND
nskr_quest kq flag ELIZA_HELPED",,"""Seems like you've already figured out where Eliza is hiding, and got the disks from her. Excellent."" He seems very pleased.",,
nskr_kq_jackLeadsElizaKilled,nskr_kqJackLeadsLines,"nskr_quest kq flag ELIZA_FOUND
!nskr_quest kq flag ELIZA_HELPED
nskr_quest kq flag ELIZA_KILLED",,"""I hear you managed to already take out Eliza for good, very impressive captain."" There is a sinister smile on his face, you seem to have made his day.",,
nskr_kq_jackLeadsDisksLeft,nskr_kqJackLeadsLines,"nskr_quest kq flag JOB5_ALICE_TIP
!nskr_quest kq check disksOverTwo",FireBest nskr_kqDisksLeft,,,
nskr_kq_jackLeadsDisksMore,nskr_kqJackLeadsLines,"nskr_quest kq flag JOB5_ALICE_TIP
nskr_quest kq check disksOverTwo",,"""As you know this is not all five disks. Come chat with Alice later about getting the rest too.""",,
nskr_kq_jackLeadsDone,nskr_kqJackLeadsLines,nskr_quest kq flag JOB5_ALICE_TIP,,"""That's all captain.""",,
nskr_kq_jackLeadsRemind,nskr_kqJackLeadsLines,!nskr_quest kq flag JOB5_ALICE_TIP,,"""That's all, remember to talk to Alice if you haven't yet.""",,
,,,,,,
# Jack: questions,,,,,,
nskr_kq_jackAsk,nskr_kqAsk,$id == nskr_opguy,FireAll nskr_kqJackQuestions,,,
nskr_kq_jackAskJob1,nskr_kqAsk,"$id == nskr_opguy
nskr_quest kq is NOT_STARTED","nskr_quest kq do pickJob1Tip
FireAll nskr_kqJackQuestions",,,"Picks the job 1 tip system where the old dialog did, before nskr_kq_jackQTip tests job1TipKnown."
,,,,,,
nskr_kq_jackQTip,nskr_kqJackQuestions,"nskr_quest kq is NOT_STARTED
nskr_quest kq check job1TipKnown
!nskr_quest kq flag JOB1_TIP_GIVEN",,,"nskr_kq_jackAskTip:""How am I supposed to find them?""",
nskr_kq_jackQRogueAi,nskr_kqJackQuestions,"nskr_quest kq is NOT_STARTED
!$nskr_kq_askedRogueAi",,,"nskr_kq_jackAskRogueAi:""Rogue AI?""",
nskr_kq_jackQShips,nskr_kqJackQuestions,"nskr_quest kq is NOT_STARTED
!nskr_quest kq flag FOUGHT_ENIGMA
!$nskr_kq_askedShips",,,"nskr_kq_jackAskShips:""The ships?""",
nskr_kq_jackQElectronics,nskr_kqJackQuestions,"nskr_quest kq is NOT_STARTED
!$nskr_kq_askedElectronics",,,"nskr_kq_jackAskElectronics:""Artifact Electronics?""",
nskr_kq_jackQCores,nskr_kqJackQuestions,"nskr_quest kq is NOT_STARTED
!$nskr_kq_askedCores",,,"nskr_kq_jackAskCores:""What about the AI Cores?""",
nskr_kq_jackQFought,nskr_kqJackQuestions,"nskr_quest kq is NOT_STARTED
nskr_quest kq flag FOUGHT_ENIGMA
!$nskr_kq_askedFought",,,"nskr_kq_jackAskFought:""I've already fought them.""",
nskr_kq_jackQEquipment,nskr_kqJackQuestions,"nskr_quest kq is JOB1_DONE
!$nskr_kq_askedEquipment",,,"nskr_kq_jackAskEquipment:""What are you actually doing with this equipment?""",
nskr_kq_jackQEnigma,nskr_kqJackQuestions,"nskr_quest kq is JOB1_DONE
!$nskr_kq_askedEnigma",,,"nskr_kq_jackAskEnigma:""Enigma AI?""",
nskr_kq_jackQNextJob,nskr_kqJackQuestions,"nskr_quest kq is JOB1_DONE
!$nskr_kq_askedNextJob",,,"nskr_kq_jackAskNextJob:""Next job?""",
nskr_kq_jackQBack,nskr_kqJackQuestions,,SetShortcut nskr_kq_brief ESCAPE false,,nskr_kq_brief:Back,
nskr_kq_jackAskTipSel,DialogOptionSelected,$option == nskr_kq_jackAskTip,"FireBest nskr_kqJackTipLine
nskr_quest kq set JOB1_TIP_GIVEN
FireAll nskr_kqJackQuestions",,,
nskr_kq_jackAskRogueAiSel,DialogOptionSelected,$option == nskr_kq_jackAskRogueAi,"$nskr_kq_askedRogueAi = true
FireAll nskr_kqJackQuestions","""Basically all the reports claim that automated ships of some sort are behind these attacks. Usually deploying a collection of advanced technologies never before seen the sector."" He looks particularly skeptical.",,
nskr_kq_jackAskShipsSel,DialogOptionSelected,$option == nskr_kq_jackAskShips,"$nskr_kq_askedShips = true
FireAll nskr_kqJackQuestions","""The unmatched capabilities of these rumored ships is truly a marvel of engineering, although it's not even clear who or what is behind this technology.""",,
nskr_kq_jackAskElectronicsSel,DialogOptionSelected,$option == nskr_kq_jackAskElectronics,"$nskr_kq_askedElectronics = true
FireAll nskr_kqJackQuestions","""The ships are said to have a peculiar construction that no other ship has in the sector. Said to be real works of art..."" A sly smile appears on his face. ""Well, when they're not trying to blow you into pieces.""",,
nskr_kq_jackAskCoresSel,DialogOptionSelected,$option == nskr_kq_jackAskCores,"$nskr_kq_askedCores = true
FireAll nskr_kqJackQuestions","""We are required to turn them over to the Hegemony as participants of the AI war treaties."" There's a hint of disappointment in his words. ""But thankfully everything else recovered is free game for us.""",,
nskr_kq_jackAskFoughtSel,DialogOptionSelected,$option == nskr_kq_jackAskFought,"$nskr_kq_askedFought = true
FireAll nskr_kqJackQuestions","""Damn impressive captain, well if what you say is true that is."" He pauses then checks your composure to see if you're telling the truth. He seems to like the result and continues. ""You should have no problem completing the mission then.""",,
nskr_kq_jackAskEquipmentSel,DialogOptionSelected,$option == nskr_kq_jackAskEquipment,"$nskr_kq_askedEquipment = true
FireAll nskr_kqJackQuestions","""That's classified information captain. I'm sure you'll understand.""",,
nskr_kq_jackAskEnigmaSel,DialogOptionSelected,$option == nskr_kq_jackAskEnigma,"$nskr_kq_askedEnigma = true
FireAll nskr_kqJackQuestions","""Enigma is one of the few words we can decipher from their transmissions. It is unclear what it actually means though."" He pauses for a moment.""It could be some sort of master AI core, or the name of their base of operations, or "" He pauses again to think. ""It's just the codename of the unholy project that caused this mess.""",,
nskr_kq_jackAskNextJobSel,DialogOptionSelected,$option == nskr_kq_jackAskNextJob,"$nskr_kq_askedNextJob = true
FireAll nskr_kqJackQuestions","He nods in approval. ""We do have more work for you, come talk to me later.""",,
,,,,,,
nskr_kq_jackStorySkip,DialogOptionSelected,"$option == nskr_kq_storySkip
$id == nskr_opguy","AddText ""\""You know we got this strange lead recently pointing to these coordinates, I think you should investigate.\"" He looks a little worried. \""Huh, I actually don't remember how we got these...\""""
FireBest nskr_kqStorySkipped","He looks almost flustered. ""What- How did you..."" He thinks for a moment.",,
,,,,,,
# Alice,,,,,,
nskr_kq_aliceChat,DialogOptionSelected,"$option == nskr_kq_chat
$id == nskr_researcher","FireBest nskr_kqAliceGreeting
FireBest nskr_kqAliceStatus
FireAll nskr_kqAliceOptions",,,
,,,,,,
nskr_kq_aliceGreeting,nskr_kqAliceGreeting,"!nskr_quest kq is NOT_STARTED JOB1_ACTIVE JOB1_DONE JOB3_OFFERED
$nskr_kq_introduced",,"""Oh, you're here.""",,No greeting before JOB3_BRIEFING.
nskr_kq_aliceIntro,nskr_kqAliceGreeting,"!nskr_quest kq is NOT_STARTED JOB1_ACTIVE JOB1_DONE JOB3_OFFERED
!$nskr_kq_introduced","AddText ""\""Ahh, yes it's you.\""""
$nskr_kq_introduced = true","A woman is staring at you through the holodisplay, her expression is unchanging. Manager Lumi is intently analyzing every part of your visage.",,
,,,,,,
nskr_kq_aliceStatus,nskr_kqAliceStatus,,FireBest nskr_kqNoJobs,,,Fallback.
nskr_kq_aliceStatusBusy,nskr_kqAliceStatus,nskr_quest kq is NOT_STARTED JOB1_ACTIVE JOB1_DONE JOB3_OFFERED,,"""Why are you contacting me? I am busy with work.""",,
nskr_kq_aliceStatusJob3,nskr_kqAliceStatus,nskr_quest kq is JOB3_BRIEFING,,"""So you finally showed up. Jack has already told me all about you. He doesn't just send any spacer goon over to me, so I have high expectations for you $nskr_kq_playerFullName.""",,
nskr_kq_aliceStatusJob3Active,nskr_kqAliceStatus,nskr_quest kq is JOB3_ACTIVE JOB3_TARGET_KNOWN,,"""Why are you still here?"" She scoffs. ""Get to work, this is time sensitive remember?""",,
nskr_kq_aliceStatusJob3Success,nskr_kqAliceStatus,"nskr_quest kq is JOB3_DONE
!nskr_quest kq flag JOB3_FAILED",,"""My intel suggests you were successful in sabotaging Tri-Tachyon.""",,
nskr_kq_aliceStatusJob3Failed,nskr_kqAliceStatus,"nskr_quest kq is JOB3_DONE
nskr_quest kq flag JOB3_FAILED",,"""My intel suggests you weren't successful in sabotaging Tri-Tachyon.""",,
nskr_kq_aliceStatusJob4Standing,nskr_kqAliceStatus,"nskr_quest kq is JOB4_WAITING
nskr_quest kq flag JOB4_WAIT_OVER
!nskr_quest kq check job4Standing",,"""There's more work, captain, but the board won't sign off on it with your current standing at Kesteven. Improve it and come back.""",,
nskr_kq_aliceStatusJob4Offer,nskr_kqAliceStatus,"nskr_quest kq is JOB4_WAITING
nskr_quest kq flag JOB4_WAIT_OVER
nskr_quest kq check job4Standing
nskr_quest kq check job4Fleet",FireBest nskr_kqNewJob,,,
nskr_kq_aliceStatusJob4Fleet,nskr_kqAliceStatus,"nskr_quest kq is JOB4_WAITING
nskr_quest kq flag JOB4_WAIT_OVER
nskr_quest kq check job4Standing
!nskr_quest kq check job4Fleet",FireBest nskr_kqNeedFleet,,,
